Genus	Species	Samplinglocation	Country	Year	Date	Sample number (on tube or bag)	Individual number	Extraction y/n?	Extraction date	Sex	Status	Sampled by	Sample type	Place of capture	Reproductive status	Weight	Length	Tail length	Latitude	Longitude	Remarks	Latitude (swiss)	Longitude (swiss)	Microsat	Cytochrom b	Control region	avpr1a	Specimen-20	"GewebeRack Number in Fridge oder -20C oder -80C, Gut samples"	DNADNA_.Number.in..20	RNARNA_.Number.in..80	Lung.Tissue	Screened? (TULV)	Positive? (TULV)	S-Segment	M-Segment	L-Segment	Genome	Swab 2 Tubes per Sample	Published	Add								
Microtus	arvalis	"Veneto,Venezia,Caorle"	Italy	1885		11139	MarIMu14			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"Veneto,Venezia,Caorle"	Italy	1885		11140	MarIMu15			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"Veneto,Venezia,Caorle"	Italy	1885		11141	MarIMu16			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"EmiliaRomagna,ferrara,Ostellato,Gallare"	Italy	1890		11150	MarIMu19			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"EmiliaRomagna,ferrara,Ostellato,Gallare"	Italy	1890		11151	MarIMu20			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"EmiliaRomagna,ferrara,Ostellato,Gallare"	Italy	1890		11152	MarIMu21			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"EmiliaRomagna,ferrara,Ostellato,Gallare"	Italy	1890		11153	MarIMu22			f		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"EmiliaRomagna,ferrara,Ostellato,Gallare"	Italy	1890		11154	MarIMu23			f		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"EmiliaRomagna,ferrara,Ostellato,Gallare"	Italy	1890		11160	MarIMu24			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"EmiliaRomagna,ferrara,Ostellato,Gallare"	Italy	1890		11161	MarIMu25			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"EmiliaRomagna,ferrara,Ostellato,Gallare"	Italy	1890		11162	MarIMu26			f		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"EmiliaRomagna,ferrara,Ostellato,Gallare"	Italy	1890		11163	MarIMu27			f		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"EmiliaRomagna,ferrara,Ostellato,Gallare"	Italy	1890		11164	MarIMu28					"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"EmiliaRomagna,Bologna,ValleFiorentinapressoMedicina"	Italy	1908		11125	MarIMu06			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"EmiliaRomagna,Bologna,ValleFiorentinapressoMedicina"	Italy	1908		11126	MarIMu07			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"EmiliaRomagna,Bologna,ValleFiorentina"	Italy	1908		11127	MarIMu08			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"EmiliaRomagna,Bologna,ValleFiorentinapressoMedicina"	Italy	1908		11128	MarIMu09			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"Slovenia,Vas"	Slovenia	1995	25/07/1995	M. arvalis 25.07.1995	MarSLOVa01					Natasa Knap	lung						45.77095	14.506827											RNA_153_59	Lung_266_09																	
Microtus	arvalis	"Slovenia,Vas"	Slovenia	1995	31/07/1995	M. arvalis 31.07.1995	MarSLOVa02					Natasa Knap	lung						45.77095	14.506827											RNA_153_60 u RNA +91_10	Lung_266_10																	
Microtus	arvalis	"Jamuz,Spain"	Spain	1995	12/02/1995	4	MarEJa04			m		Mario Diaz	tissue from dried skull	"Jamuz, province Leon, Spain"							location: 05-27-2									DNA_10																			
Microtus	arvalis	"Jamuz,Spain"	Spain	1995	18/02/1995	8	MarEJa08	y	01.02.2020	m		Mario Diaz	tissue from dried skull	"Jamuz, province Leon, Spain"							location: 05-C-22								Rack07	DNA_10 DNA_151_45																			
Microtus	arvalis	"Jamuz,Spain"	Spain	1995	28/02/1995	3	MarEJa03			f		Mario Diaz	tissue from dried skull	"Jamuz, province Leon, Spain"							location: 05-C-55									DNA_10																			
Microtus	arvalis	"Jamuz,Spain"	Spain	1995	28/02/1995	7	MarEJa07			m		Mario Diaz	tissue from dried skull	"Jamuz, province Leon, Spain"							location: 05-40-2								Rack07	DNA_10 u DNA_187_31																			
Microtus	arvalis	"Jamuz,Spain"	Spain	1995	07/03/1995	1	MarEJa01			m		Mario Diaz	tissue from dried skull	"Jamuz, province Leon, Spain"							location: 05-C-57								Rack07	DNA_10																			
Microtus	arvalis	"Jamuz,Spain"	Spain	1995	07/03/1995	5	MarEJa05			m		Mario Diaz	tissue from dried skull	"Jamuz, province Leon, Spain"							location: 05-21-5								Rack07	DNA_10																			
Microtus	arvalis	"Jamuz,Spain"	Spain	1995	07/03/1995	6	MarEJa06			f		Mario Diaz	tissue from dried skull	"Jamuz, province Leon, Spain"							location: 05-2-42								Rack07	DNA_10																			
Microtus	arvalis	"Jamuz,Spain"	Spain	1995	07/03/1995	10	MarEJa10			f		Mario Diaz	tissue from dried skull	"Jamuz, province Leon, Spain"							location: 05-C-72								Rack07	DNA_10																			
Microtus	arvalis	"Jamuz,Spain"	Spain	1995	08/03/1995	2	MarEJa02			f		Mario Diaz	tissue from dried skull	"Jamuz, province Leon, Spain"							location: 05-24-4								Rack07	DNA_10																			
Microtus	arvalis	"Jamuz,Spain"	Spain	1995	08/03/1995	9	MarEJa09			m		Mario Diaz	tissue from dried skull	"Jamuz, province Leon, Spain"							location: 05-C-1								Rack07	DNA_10 u DNA_187_32																			
Microtus	arvalis	"Slovenia,iki,DolnjiKraj"	Slovenia	1996	13/09/1996	TT 69/96	MarSLOZi01	y		m		Tomi Trilar	liver in EtOH	165 m.ü.M.					46.55638889	16.30916667									Rack04																				
Microtus	arvalis	"Slovenia,Zizki"	Slovenia	1996	13/09/1996	M. arvalis 13.09.1996	MarSLOZi01					Natasa Knap	lung						46.570242	16.303245											RNA_153_61	Lung_266_11																	
Microtus	arvalis	Bernshausen	Germany	1998	25/09/1998	125	MarDBe01	y		f		GH	ear			19			51.56605	10.181341				microsat		control region			Rack01	DNA_187_29																			
Microtus	arvalis	Bernshausen	Germany	1998	26/09/1998	126	MarDBe02	y		m		GH	ear			17			51.56605	10.181341				microsat		control region			Rack01	DNA_187_30																			
Microtus	arvalis	Bernshausen	Germany	1998	27/09/1998	127	MarDBe03	y		m		GH	ear			16			51.56605	10.181341									Rack01																				
Microtus	arvalis	Bernshausen	Germany	1998	28/09/1998	128	MarDBe04	y		m		GH	ear			15			51.56605	10.181341				microsat		control region			Rack01																				
Microtus	arvalis	Bernshausen	Germany	1998	29/09/1998	129	MarDBe05	y		f		GH	ear			16			51.56605	10.181341				microsat		control region			Rack01																				
Microtus	arvalis	Bernshausen	Germany	1998	30/09/1998	130	MarDBe06	y		f		GH	ear			13			51.56605	10.181341									Rack01																				
Microtus	arvalis	Bernshausen	Germany	1998	01/10/1998	131	MarDBe07	y		f		GH	ear			15			51.56605	10.181341				microsat		control region			Rack01																				
Microtus	arvalis	Bernshausen	Germany	1998	02/10/1998	132	MarDBe08	y		m		GH	ear			17			51.56605	10.181341				microsat		control region			Rack01																				
Microtus	arvalis	Bernshausen	Germany	1998	03/10/1998	133	MarDBe09	y		f		GH	ear			14			51.56605	10.181341				microsat		control region			Rack01																				
Microtus	arvalis	Bernshausen	Germany	1998	04/10/1998	134	MarDBe10	y		f		GH	ear			31			51.56605	10.181341									Rack01																				
Microtus	arvalis	Bernshausen	Germany	1998	05/10/1998	135	MarDBe11	y		m		GH	ear			15			51.56605	10.181341									Rack01																				
Microtus	arvalis	Bernshausen	Germany	1998	06/10/1998	136	MarDBe12	y		m		GH	ear			12			51.56605	10.181341									Rack01																				
Microtus	arvalis	Bernshausen	Germany	1998	07/10/1998	137	MarDBe13	y		m		GH	ear			15			51.56605	10.181341									Rack01																				
Microtus	arvalis	Bernshausen	Germany	1998	08/10/1998	138	MarDBe14	y		f		GH	ear			15			51.56605	10.181341									Rack01																				
Microtus	arvalis	Bernshausen	Germany	1998	09/10/1998	139	MarDBe15	y		f		GH	ear			14.7			51.56605	10.181341									Rack01																				
Microtus	arvalis	"Chizé,Deuxsèvres"	France	1999	07/02/1999	MarFCh05	MarFCh05	y	28/3/2019			"Bertrand Gauffre, Centre de Biologie et de Gestion des populations (GBGP)"	Toe in EtOH						46.116389	0.346389									Box227 -20C/Rack07	DNA_13 u 148_56										Want et al. 2023									
Microtus	arvalis	"Chizé,Deuxsèvres"	France	1999	07/02/1999	MarFCh06	MarFCh06	y	28/3/2019			"Bertrand Gauffre, Centre de Biologie et de Gestion des populations (GBGP)"	Toe in EtOH						46.116389	0.346389									Box227 -20C/Rack07	DNA_13 u 148_57																			
Microtus	arvalis	"Chizé,Deuxsèvres"	France	1999	07/02/1999	MarFCh07	MarFCh07	y	28/3/2019			"Bertrand Gauffre, Centre de Biologie et de Gestion des populations (GBGP)"	Toe in EtOH						46.116389	0.346389									Box227 -20C/Rack07	DNA_13 u 148_58																			
Microtus	arvalis	"Chizé,Deuxsèvres"	France	1999	07/02/1999	MarFCh08	MarFCh08	y				"Bertrand Gauffre, Centre de Biologie et de Gestion des populations (GBGP)"	Toe in EtOH						46.116389	0.346389									Box227 -20C /Rack07	DNA_13																			
Microtus	arvalis	"Chizé,Deuxsèvres"	France	1999	07/02/1999	MarFCh09	MarFCh09	y				"Bertrand Gauffre, Centre de Biologie et de Gestion des populations (GBGP)"	Toe in EtOH						46.116389	0.346389									Box227 -20C/Rack07	DNA_13																			
Microtus	arvalis	"Chizé,Deuxsèvres"	France	1999	07/02/1999	MarFCh10	MarFCh10	y				"Bertrand Gauffre, Centre de Biologie et de Gestion des populations (GBGP)"	Toe in EtOH						46.116389	0.346389									Box227 -20C/Rack07	DNA_13																			
Microtus	arvalis	"Chizé,Deuxsèvres"	France	1999	07/02/1999	MarFCh11	MarFCh11	y				"Bertrand Gauffre, Centre de Biologie et de Gestion des populations (GBGP)"	Toe in EtOH						46.116389	0.346389									Box227 -20C/Rack07																				
Microtus	arvalis	"Chizé,Deuxsèvres"	France	1999	07/02/1999	MarFCh12	MarFCh12	y				"Bertrand Gauffre, Centre de Biologie et de Gestion des populations (GBGP)"	Toe in EtOH						46.116389	0.346389									Box227 -20C/Rack07																				
Microtus	arvalis	"Chizé,Deuxsèvres"	France	1999	07/02/1999	MarFCh13	MarFCh13	y				"Bertrand Gauffre, Centre de Biologie et de Gestion des populations (GBGP)"	Toe in EtOH						46.116389	0.346389									Box227 -20C/Rack07																				
Microtus	arvalis	"Chizé,Deuxsèvres"	France	1999	07/02/1999	MarFCh14	MarFCh14	y				"Bertrand Gauffre, Centre de Biologie et de Gestion des populations (GBGP)"	Toe in EtOH						46.116389	0.346389									Box227 -20C/Rack07																				
Microtus	arvalis	"Chizé,Deuxsèvres"	France	1999	07/02/1999	MarFCh15	MarFCh15	y				"Bertrand Gauffre, Centre de Biologie et de Gestion des populations (GBGP)"	Toe in EtOH						46.116389	0.346389									Box227 -20C /Rack07																				
Microtus	arvalis	"Reinh.Realg.SeulingenAbt20,Germany"	Germany	1999	16/09/1999	50	MarDSe01	y	43528	w	a	"Viola Vorwald, Forstliche Versuchsanstalt Niedersachsen"	tissue in EtOH			37.7			51.91666667	10.28333333									Rack07	148_12																			
Microtus	arvalis	"Reinh.Realg.SeulingenAbt20,Germany"	Germany	1999	16/09/1999	64	MarDSe02			m	a	"Viola Vorwald, Forstliche Versuchsanstalt Niedersachsen"	tissue in EtOH			45.8			51.91666667	10.28333333									Rack07																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I1/1	MarPDG01	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I1/2	MarPDG02	n		M		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I1/3	MarPDG03	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I1/4	MarPDG04	n		M		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I1/5	MarPDG05	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I1/6	MarPDG06	n		M		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I1/7	MarPDG07	n		M		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I1/8	MarPDG08	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I1/9	MarPDG09	n		M		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I1/10	MarPDG10	n		M		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I1/11	MarPDG11	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I2/1	MarPDG12	n		M		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I2/2	MarPDG13	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I2/3	MarPDG14	n		M		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I2/5	MarPDG15	n		M		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I2/6	MarPDG16	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I2/7	MarPDG17	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I2/8	MarPDG18	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I3/1	MarPDG19	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I3/2	MarPDG20	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I3/3	MarPDG21	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I3/4	MarPDG22	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I3/5	MarPDG23	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I3/6	MarPDG24	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I3/7	MarPDG25	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I3/8	MarPDG26	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I3/9	MarPDG27	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I3/10	MarPDG28	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I3/11	MarPDG29	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I3/12	MarPDG30	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	DebowaGora	Poland	1999	Sept 1999	I3/13	MarPDG31	n		F		Miroslaw Ratkiewicz (Mirek)	liver	Biebrza river vally					53.58333333	22.83333333	PL3								Rack19																				
Microtus	arvalis	Srodkowy	Poland	1999	Sept 1999	L1	MarPSr01	y	39463	F		Miroslaw Ratkiewicz (Mirek)	kidney	Biebrza river vally					53.58333333	22.78333333	PL5								Rack19	DNA_91																			
Microtus	arvalis	Srodkowy	Poland	1999	Sept 1999	L2	MarPSr02	y	39463	F		Miroslaw Ratkiewicz (Mirek)	kidney	Biebrza river vally					53.58333333	22.78333333	PL5								Rack19	DNA_91																			
Microtus	arvalis	Srodkowy	Poland	1999	Sept 1999	L3	MarPSr03	y	39463	F		Miroslaw Ratkiewicz (Mirek)	kidney	Biebrza river vally					53.58333333	22.78333333	PL5								Rack19	DNA_91																			
Microtus	arvalis	Srodkowy	Poland	1999	Sept 1999	L4	MarPSr04	y	39463	?F		Miroslaw Ratkiewicz (Mirek)	kidney	Biebrza river vally					53.58333333	22.78333333	PL5								Rack19	DNA_91																			
Microtus	arvalis	Srodkowy	Poland	1999	Sept 1999	L5	MarPSr05	y	39463	F		Miroslaw Ratkiewicz (Mirek)	kidney	Biebrza river vally					53.58333333	22.78333333	PL5								Rack19	DNA_91 u 148_61																			
Microtus	arvalis	Srodkowy	Poland	1999	Sept 1999	L6	MarPSr06	y	39463	F		Miroslaw Ratkiewicz (Mirek)	kidney	Biebrza river vally					53.58333333	22.78333333	PL5								Rack19	DNA_91 u 148_62 u 149_29										Wang et al. 2023									
Microtus	arvalis	Srodkowy	Poland	1999	Sept 1999	L7	MarPSr07	y	39463	M		Miroslaw Ratkiewicz (Mirek)	kidney	Biebrza river vally					53.58333333	22.78333333	PL5								Rack19	DNA_91																			
Microtus	arvalis	Srodkowy	Poland	1999	Sept 1999	L8	MarPSr08	y	39463	M		Miroslaw Ratkiewicz (Mirek)	kidney	Biebrza river vally					53.58333333	22.78333333	PL5								Rack19	DNA_91																			
Microtus	arvalis	Srodkowy	Poland	1999	Sept 1999	L9	MarPSr09	y	39463	F		Miroslaw Ratkiewicz (Mirek)	kidney	Biebrza river vally					53.58333333	22.78333333	PL5								Rack19	DNA_91																			
Microtus	arvalis	Srodkowy	Poland	1999	Sept 1999	L10	MarPSr10	y	39463	F		Miroslaw Ratkiewicz (Mirek)	kidney	Biebrza river vally					53.58333333	22.78333333	PL5								Rack19	DNA_91																			
Microtus	arvalis	Srodkowy	Poland	1999	Sept 1999	L11	MarPSr11	y	39463	F		Miroslaw Ratkiewicz (Mirek)	kidney	Biebrza river vally					53.58333333	22.78333333	PL5								Rack19	DNA_91																			
Microtus	arvalis	Srodkowy	Poland	1999	Sept 1999	L12	MarPSr12	y	39463	F		Miroslaw Ratkiewicz (Mirek)	kidney	Biebrza river vally					53.58333333	22.78333333	PL5								Rack19	DNA_91																			
